ENEMIGO1,ENEMIGO2,ENEMIGO3,ENEMIGO4,ENEMIGO5,ITEM,BOLSADEORO,PELIGRO
1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,2
0,0,1,0,0,0,0,3
0,0,0,1,0,0,0,4
0,0,0,0,1,0,0,5
0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,1
2,0,0,0,0,0,0,2
1,1,0,0,0,0,0,3
1,0,1,0,0,0,0,4
1,0,0,1,0,0,0,5
1,0,0,0,1,0,0,6
1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,1
0,2,0,0,0,0,0,4
1,1,0,0,0,0,0,3
1,0,1,0,0,0,0,4
1,0,0,1,0,0,0,5
1,0,0,0,1,0,0,6
1,0,0,0,0,0,1,1
1,0,0,0,0,1,0,1
0,2,0,0,0,0,0,4
0,0,2,0,0,0,0,5
0,0,0,2,0,0,0,6
0,0,0,0,2,0,0,7
0,0,0,0,0,2,0,8
0,0,0,0,0,2,0,8
3,0,0,0,0,0,0,3
0,3,0,0,0,0,0,6
0,0,3,0,0,0,0,9
0,0,0,3,0,0,0,12
0,0,0,0,3,0,0,15
4,0,0,0,0,0,0,4
0,4,0,0,0,0,0,8
0,0,4,0,0,0,0,12
0,0,0,4,0,0,0,16
0,0,0,0,4,0,0,20
